,clouds.all,coord.lat,coord.lon,dt,main.humidity,main.temp_max,name,sys.country,wind.speed
371,64,34.9,108.95,1554217200,66,48.2,Tongchuan,CN,2.24
372,0,21.63,81.7,1554217200,27,87.8,Simga,IN,2.24
373,75,54.08,-0.19,1554221344,75,46.99,Bridlington,GB,6.93
374,32,-10.34,-67.19,1554221389,75,87.62,Placido de Castro,BR,2.93
375,0,52.4,17.23,1554221342,26,60.01,Kostrzyn,PL,21.92
376,5,15.74,-96.47,1554220804,62,87.01,Pochutla,MX,1.48
377,1,27.91,-97.15,1554221300,59,66.2,Aransas Pass,US,9.17
378,80,55.72,93.76,1554221390,55,46.94,Shalinskoye,RU,17.02
379,40,-34.46,-58.91,1554221308,74,87.01,Pilar,AR,8.05
380,5,15.86,-97.07,1554216060,58,82.4,Puerto Escondido,MX,2.48
381,0,-37.83,147.63,1554221347,92,53.01,Bairnsdale,AU,1.01
382,12,64.42,-173.23,1554221299,100,22.64,Provideniya,RU,10.2
383,0,6.3,120.58,1554221391,97,82.4,Simbahan,PH,11.43
384,0,21.46,-71.14,1554221122,100,77.63,Cockburn Town,TC,12.33
385,0,-35.94,173.86,1554221391,81,54.77,Dargaville,NZ,8.19
386,0,37.57,126.98,1554219000,75,41.0,Seoul,KR,10.29
387,75,35.55,133.23,1554220999,100,37.4,Sakaiminato,JP,4.7
388,80,39.96,-0.26,1554221285,82,64.99,Onda,ES,3.36
389,0,52.7,115.17,1554221392,34,29.84,Verkh-Usugli,RU,9.75
390,0,4.89,-1.75,1554221393,90,86.0,Takoradi,GH,9.42
391,88,67.62,33.66,1554221393,77,34.25,Kirovsk,RU,5.5
392,44,-10.62,150.67,1554221254,100,81.32,Samarai,PG,6.73
393,88,65.8,87.96,1554221393,90,30.47,Turukhansk,RU,10.42
394,75,10.31,119.01,1554217200,78,82.4,Caruray,PH,4.7
395,92,20.52,-13.05,1554217200,67,87.8,Atar,MR,13.87
396,75,-19.98,57.61,1554221341,83,80.6,Cap Malheureux,MU,7.29
397,40,14.54,-61.04,1554219000,65,82.4,Les Trois-Ilets,MQ,21.92
398,20,-23.87,35.38,1554217200,61,82.4,Inhambane,MZ,9.17
399,88,-6.6,147.85,1554221394,97,73.85,Finschhafen,PG,2.04
400,1,33.16,-94.97,1554220999,50,59.0,Mount Pleasant,US,4.7
401,0,12.18,6.51,1554221280,15,102.02,Auki,NG,17.02
402,0,65.73,150.89,1554221303,81,3.74,Zyryanka,RU,3.27
403,0,32.18,76.38,1554221396,61,49.64,Yol,IN,2.26
404,12,-36.9,-62.36,1554221396,49,79.16,Alamos,AR,13.56
405,64,-8.35,113.61,1554221397,100,77.99,Ambulu,ID,2.48
406,75,17.54,44.22,1554217200,37,82.4,Najran,SA,2.24
407,90,38.03,-107.32,1554221108,47,35.6,Lake City,US,3.36
408,75,55.28,-114.77,1554220800,74,30.2,Slave Lake,CA,13.87
409,44,66.56,67.8,1554221341,81,21.56,Aksarka,RU,13.22
410,75,48.81,3.08,1554221341,76,57.99,Coulommiers,FR,19.46
411,8,-22.4,46.13,1554221198,29,80.6,Ihosy,MG,4.72
412,75,0.61,-80.02,1554217200,94,78.8,Muisne,EC,3.36
413,75,-2.98,-65.16,1554217200,83,82.4,Uarini,BR,6.93
414,5,20.71,-105.21,1554221110,94,78.01,Ixtapa,MX,2.59
415,0,54.44,113.59,1554221399,43,18.95,Bagdarin,RU,7.18
416,5,16.86,-99.88,1554216120,47,80.6,Acapulco,MX,4.7
417,0,13.06,44.88,1554221400,47,85.1,Lahij,YE,6.4
418,32,5.96,124.67,1554221400,100,73.22,Tambilil,PH,1.36
419,44,32.12,20.07,1554221400,98,61.7,Benghazi,LY,20.71
420,80,63.05,179.32,1554221401,94,26.24,Beringovskiy,RU,11.54
421,0,14.69,-16.54,1554219000,39,82.4,Gat,SN,19.46
422,12,64.52,34.76,1554221401,68,41.18,Belomorsk,RU,9.42
423,12,14.07,98.19,1554221402,88,76.64,Dawei,MM,1.7
424,75,69.65,18.96,1554220945,94,39.2,Tromso,NO,24.16
425,75,70.47,-68.59,1554217200,91,1.4,Clyde River,CA,34.45
426,0,18.69,12.92,1554221403,16,95.9,Bilma,NE,7.96
427,80,42.92,143.2,1554221311,83,22.46,Obihiro,JP,2.71
428,8,63.91,38.09,1554221403,78,35.51,Onega,RU,8.41
429,0,22.62,71.45,1554221404,17,89.78,Muli,IN,6.62
430,32,1.24,111.46,1554217200,94,77.0,Sri Aman,MY,2.24
431,0,69.3,139.9,1554221405,55,-6.52,Deputatskiy,RU,3.94
432,12,35.3,37.18,1554221303,85,55.85,Abu Samrah,SY,10.87
433,0,23.26,68.83,1554221405,36,85.19,Naliya,IN,9.08
434,40,48.64,13.53,1554221402,37,66.99,Wanning,AT,9.17
435,40,27.52,-110.01,1554216120,34,68.0,Laguna,MX,4.7
436,0,18.9,-3.53,1554221407,20,99.68,Araouane,ML,11.65
437,0,-36.8,-72.03,1554217200,56,71.6,San Ignacio,CL,16.11
438,0,-35.62,174.5,1554221285,92,50.0,Ngunguru,NZ,13.44
439,24,-18.59,-39.73,1554221122,84,81.32,Conceicao da Barra,BR,4.16
440,20,44.3,86.03,1554221408,49,56.12,Shihezi,CN,5.95
441,12,-11.1,-77.61,1554221206,77,72.59,Hualmay,PE,4.05
442,0,2.04,45.34,1554221381,100,83.21,Mogadishu,SO,12.66
443,0,-20.3,44.28,1554221409,74,84.38,Morondava,MG,7.96
444,75,46.98,-95.91,1554221325,98,41.0,Callaway,US,21.92
445,20,28.5,-13.86,1554219000,73,69.8,Puerto del Rosario,ES,16.11
446,20,15.88,108.33,1554219000,88,77.0,Hoi An,VN,2.24
447,40,57.48,-4.23,1554221406,65,46.0,Inverness,GB,11.41
448,0,27.59,68.0,1554221411,24,89.87,Kambar,PK,7.63
449,92,-8.49,140.4,1554221305,100,77.27,Merauke,ID,5.84
450,44,33.37,134.14,1554221411,100,43.34,Muroto,JP,10.54
451,8,51.68,79.77,1554221411,51,48.56,Malinovoye Ozero,RU,5.95
452,36,64.48,76.69,1554221258,82,23.0,Purpe,RU,4.0
453,88,-10.07,-78.15,1554221412,74,72.95,Huarmey,PE,3.38
454,68,70.62,147.9,1554221412,77,4.91,Chokurdakh,RU,3.38
455,68,-14.86,-66.75,1554221412,89,79.43,San Borja,BO,2.71
456,0,57.82,26.93,1554221328,29,48.2,Juba,EE,4.7
457,48,44.83,-0.61,1554221180,67,61.0,Saint-Augustin,FR,16.11
458,92,21.28,-97.45,1554221413,100,65.3,Tamiahua,MX,13.0
459,20,17.01,54.1,1554216600,69,82.4,Salalah,OM,9.17
460,0,34.7,138.93,1554221411,36,41.0,Shimoda,JP,19.15
461,75,40.74,-73.08,1554221413,45,48.99,Sayville,US,13.87
462,0,29.28,82.18,1554221377,89,27.59,Jumla,NP,2.93
463,75,3.17,113.03,1554217200,94,75.2,Bintulu,MY,3.04
464,36,-0.87,134.08,1554221241,97,82.22,Manokwari,ID,13.0
465,44,-2.54,115.51,1554221414,95,73.49,Labuhan,ID,2.37
466,92,32.21,119.46,1554221357,59,57.99,Zhenjiang,CN,2.71
467,44,6.3,-70.2,1554221415,78,81.68,Cravo Norte,CO,12.66
468,56,-23.95,31.14,1554217200,93,66.2,Phalaborwa,ZA,9.17
469,8,13.64,-88.78,1554221156,52,87.8,San Vicente,SV,5.82
470,0,27.87,-0.29,1554217200,18,87.8,Adrar,DZ,6.93
471,92,-28.95,153.24,1554221116,82,66.2,Codrington,AU,9.17
472,75,53.65,-115.58,1554217200,61,32.0,Mackay,CA,4.7
473,90,43.11,0.72,1554221414,66,61.0,Saint-Gaudens,FR,14.99
474,75,-13.74,-72.9,1554217200,57,51.8,Matara,PE,2.37
475,90,44.08,-80.2,1554221416,39,44.6,Shelburne,CA,14.99
476,0,26.54,-77.06,1554221122,96,76.91,Marsh Harbour,BS,13.89
477,20,8.64,-83.17,1554221165,82,84.65,Golfito,CR,2.82
478,90,37.46,-122.43,1554221416,93,57.0,Half Moon Bay,US,6.93
479,0,-31.97,141.45,1554217200,45,62.6,Broken Hill,AU,6.93
480,92,65.42,-52.9,1554221419,92,34.25,Maniitsoq,GL,8.41
481,32,1.51,21.07,1554221419,63,88.34,Bongandanga,CD,2.59
482,92,28.97,118.86,1554221216,97,50.9,Quzhou,CN,6.29
483,40,34.78,32.57,1554220893,82,60.8,Nata,CY,4.7
484,0,7.38,8.57,1554221419,33,102.02,Yaan,NG,4.72
485,75,36.97,46.1,1554217200,70,48.2,Miandoab,IR,9.17
486,1,30.53,-92.08,1554221404,47,60.8,Opelousas,US,3.36
487,92,42.54,1.52,1554221416,76,62.01,La Massana,FR,2.15
488,48,-14.9,50.28,1554221306,84,82.67,Antalaha,MG,7.96
489,76,-5.67,132.75,1554221420,100,81.5,Tual,ID,17.25
490,88,-4.06,144.07,1554221421,95,77.0,Angoram,PG,2.59
491,0,30.75,20.22,1554221421,31,77.54,Ajdabiya,LY,10.76
492,20,37.14,-8.45,1554221098,77,66.99,Lagoa,PT,6.93
493,24,-35.26,150.51,1554220882,93,60.01,Manyana,AU,2.24
494,20,-19.38,-40.06,1554221334,60,87.44,Linhares,BR,4.72
495,0,69.19,33.23,1554219000,59,37.4,Snezhnogorsk,RU,4.47
496,75,-3.35,-64.71,1554217200,83,82.4,Tefe,BR,6.93
497,48,53.94,139.92,1554221422,77,15.53,Mnogovershinnyy,RU,2.15
498,0,-25.17,45.06,1554221423,57,79.7,Beloha,MG,10.09
499,0,65.58,22.15,1554218400,69,37.4,Lulea,SE,9.17
500,0,9.31,13.39,1554217200,6,107.6,Garoua,CM,5.82
501,8,-29.13,-56.55,1554221424,64,87.8,Itaqui,BR,4.72
502,1,64.86,-147.8,1554221210,92,33.01,College,US,4.7
503,40,15.09,-87.97,1554217200,61,80.6,Amapa,HN,5.82
504,12,-37.83,140.78,1554217200,62,57.2,Mount Gambier,AU,10.29
505,92,29.3,113.14,1554221424,99,53.78,Guozhen,CN,9.64
506,0,67.46,153.71,1554221250,86,6.8,Srednekolymsk,RU,1.36
507,0,-23.13,150.74,1554219000,73,69.8,Yeppoon,AU,9.17
508,40,31.42,31.81,1554217200,67,62.6,Damietta,EG,11.41
509,24,-7.02,-45.48,1554221425,91,84.74,Sao Raimundo das Mangabeiras,BR,4.38
510,0,-5.56,-80.82,1554221291,80,75.47,Sechura,PE,8.41
511,32,-22.43,-151.33,1554221426,95,80.15,Moerai,PF,14.79
512,0,45.28,6.35,1554221424,52,64.4,Saint-Jean-de-Maurienne,FR,9.17
513,20,-10.16,123.6,1554217200,88,77.0,Kupang,ID,3.36
514,40,-0.39,-78.55,1554220880,63,66.2,San Cristobal,EC,3.36
515,92,-6.12,141.3,1554221427,97,72.68,Kiunga,PG,2.59
516,75,21.05,-89.07,1554220840,61,86.0,Teya,MX,5.82
517,20,18.22,-63.06,1554220848,61,82.99,The Valley,AI,14.99
518,44,-6.64,-51.99,1554221427,88,81.05,Sao Felix do Xingu,BR,2.71
519,20,-21.02,-48.04,1554217200,43,87.8,Pontal,BR,3.36
520,64,-9.47,-78.3,1554221428,95,68.72,Casma,PE,4.61
521,0,47.91,9.89,1554221423,31,66.99,Bad Wurzach,DE,10.29
522,92,4.95,-77.37,1554221248,94,77.99,Pizarro,CO,6.4
523,75,-4.58,-81.27,1554217200,290,62.6,Talara,PE,6.29
524,0,12.79,45.03,1554221429,97,80.87,Aden,YE,13.22
525,20,10.15,-85.45,1554217200,41,91.4,Nicoya,CR,24.16
526,90,51.22,4.12,1554221419,100,53.01,Sint-Gillis-Waas,BE,17.22
527,0,55.98,23.85,1554218400,29,48.2,Pakruojis,LT,18.34
528,75,52.47,1.45,1554221284,87,46.0,Broome,GB,11.41
529,56,62.86,42.71,1554221430,78,35.06,Bereznik,RU,5.84
530,8,8.12,-63.55,1554221431,45,89.96,Ciudad Bolivar,VE,12.66
531,0,16.28,-0.04,1554221431,13,106.25,Gao,ML,10.54
532,0,42.18,127.48,1554221431,67,14.18,Songjianghe,CN,2.48
533,75,71.03,27.85,1554216600,88,33.8,Mehamn,NO,10.29
534,32,-34.72,135.86,1554221431,79,63.77,Port Lincoln,AU,9.75
535,36,54.34,101.51,1554221432,70,36.68,Kuytun,RU,8.3
536,20,59.1,26.19,1554221432,69,38.84,Vao,EE,5.39
537,20,22.15,-80.2,1554216600,61,82.4,Cumanayagua,CU,5.82
