,clouds.all,coord.lat,coord.lon,dt,main.humidity,main.temp_max,name,sys.country,wind.speed
84,40,10.24,-61.45,1554221108,55,87.8,Esperance,TT,16.11
85,90,-29.95,-71.34,1554217200,77,62.6,Coquimbo,CL,2.24
86,80,19.71,-155.08,1554221069,86,68.0,Hilo,US,1.99
87,20,-6.13,12.37,1554217200,70,91.4,Soyo,AO,8.05
88,75,69.44,-133.03,1554219000,77,1.4,Tuktoyaktuk,CA,12.75
89,0,-46.43,-67.52,1554221308,37,68.36,Mar del Plata,AR,19.82
90,0,14.9,-24.5,1554221283,93,72.14,Sao Filipe,CV,14.0
91,0,7.14,40.71,1554221309,25,81.05,Ginir,ET,7.85
92,0,11.47,49.87,1554221309,66,80.42,Qandala,SO,2.93
93,48,-34.53,20.04,1554220876,70,66.0,Bredasdorp,ZA,10.0
94,20,-9.8,-139.03,1554221310,100,82.04,Atuona,PF,10.65
95,75,60.91,-46.05,1554216600,56,42.8,Narsaq,GL,33.33
96,20,37.19,10.18,1554217200,56,68.0,Rafraf,TN,6.93
97,20,71.64,128.87,1554221262,62,3.56,Tiksi,RU,2.59
98,20,38.56,-89.9,1554221296,50,55.99,Shiloh,US,11.41
99,68,22.12,106.89,1554221312,92,69.08,Xiashi,CN,4.94
100,20,13.22,-59.52,1554217200,58,84.2,Bathsheba,BB,25.28
101,20,-23.58,149.07,1554221312,63,71.42,Bluff,AU,8.75
102,90,-17.65,-71.34,1554217200,64,73.4,Ilo,PE,4.7
103,75,31.63,-7.99,1554219000,49,71.6,Marrakesh,MA,6.93
104,75,63.75,-68.52,1554220929,76,-5.01,Iqaluit,CA,26.4
105,0,44.93,127.16,1554221313,43,22.37,Wuchang,CN,7.63
106,20,36.31,139.8,1554221157,74,44.01,Oyama,JP,1.12
107,1,47.32,-119.55,1554221236,56,44.6,Ephrata,US,8.05
108,92,-8.9,-35.15,1554221314,93,82.13,Sao Jose da Coroa Grande,BR,6.96
109,20,45.25,77.98,1554221314,75,45.86,Ushtobe,KZ,4.05
110,8,50.72,136.64,1554221314,67,15.71,Solnechnyy,RU,3.49
111,68,-26.75,-55.27,1554221315,68,82.4,Edelira,PY,2.93
112,24,-3.59,26.67,1554221315,50,90.5,Kampene,CD,1.59
113,0,-30.97,22.13,1554221274,9,77.27,Carnarvon,ZA,4.5
114,0,8.41,48.48,1554221109,30,89.87,Garowe,SO,4.38
115,0,-20.63,-46.0,1554221204,68,80.51,Ponta do Sol,BR,5.17
116,20,-34.61,-58.36,1554221308,78,87.01,Puerto Madero,AR,6.93
117,40,-15.19,12.15,1554217200,62,84.2,Namibe,AO,12.75
118,20,-16.03,35.5,1554217200,47,80.6,Mulanje,MW,6.93
119,68,-2.57,150.8,1554221317,98,84.47,Kavieng,PG,10.2
120,75,70.07,29.75,1554218400,83,32.0,Vadso,NO,8.05
121,100,-38.37,178.3,1554221317,94,57.47,Tolaga Bay,NZ,14.67
122,80,28.06,95.33,1554221317,97,54.95,Pasighat,IN,1.7
123,40,38.18,-1.13,1554221258,72,72.0,Fortuna,ES,4.7
124,40,37.72,-25.43,1554221300,67,60.8,Vila Franca do Campo,PT,18.34
125,0,-23.7,133.88,1554220800,28,55.4,Alice Springs,AU,4.7
126,0,41.42,-6.55,1554221244,29,66.47,Saldanha,PT,9.86
127,90,22.08,-159.32,1554220852,78,71.6,Kapaa,US,13.87
128,0,52.8,104.75,1554219000,69,32.0,Ust-Ordynskiy,RU,8.95
129,76,-9.65,120.26,1554221302,100,73.13,Waingapu,ID,2.59
130,90,58.81,-122.69,1554218220,92,28.4,Fort Nelson,CA,5.82
131,0,54.43,31.9,1554221278,56,45.95,Sobolevo,RU,8.52
132,64,66.77,123.37,1554221293,77,25.88,Zhigansk,RU,7.4
133,40,55.1,-105.3,1554217200,61,17.6,La Ronge,CA,16.11
134,0,15.34,74.49,1554221320,54,80.06,Vaini,IN,6.51
135,8,-15.77,128.74,1554220800,64,69.8,Kununurra,AU,5.82
136,92,47.57,46.72,1554221320,92,43.07,Tsagan Aman,RU,11.32
137,24,-34.58,150.85,1554221105,93,60.01,Flinders,AU,2.24
138,76,62.11,42.91,1554221321,75,36.05,Shenkursk,RU,5.5
139,36,-20.21,25.26,1554221321,15,93.65,Gweta,BW,11.99
140,20,-21.64,-41.05,1554217200,45,86.0,Sao Joao da Barra,BR,5.82
141,8,-0.61,30.65,1554221321,70,75.65,Mbarara,UG,4.83
142,20,17.65,83.27,1554219000,79,84.2,Yarada,IN,8.05
143,75,39.31,-74.98,1554221311,57,53.01,Port Elizabeth,US,17.22
144,40,-51.62,-69.22,1554217200,51,59.0,Rio Gallegos,AR,12.75
145,80,27.93,96.16,1554221322,86,53.51,Tezu,IN,1.36
146,90,65.61,-37.64,1554216600,85,23.0,Tasiilaq,GL,21.92
147,0,77.48,-69.36,1554221322,73,-3.46,Qaanaaq,GL,10.2
148,0,21.43,39.83,1554221322,12,81.5,Mecca,SA,8.75
149,90,42.62,-113.68,1554220380,65,46.4,Rupert,US,13.87
150,0,6.71,-61.64,1554221323,48,85.64,El Dorado,VE,3.6
151,20,41.89,12.48,1554221284,59,64.4,Rome,IT,10.29
152,40,45.36,-73.48,1554221117,38,42.01,Saint-Philippe,CA,10.29
153,20,50.04,-110.68,1554220887,80,37.0,Medicine Hat,CA,4.7
154,44,61.94,76.66,1554221324,73,28.4,Novoagansk,RU,10.65
155,20,-5.81,-35.21,1554220800,55,91.4,Natal,BR,11.41
156,0,28.58,77.04,1554219008,30,90.0,Dwarka,IN,5.82
157,75,32.3,-64.78,1554220813,68,69.8,Hamilton,BM,21.92
158,0,72.79,-56.15,1554221234,100,12.47,Upernavik,GL,17.36
159,8,-34.48,-54.34,1554221325,75,79.52,Rocha,UY,6.51
160,0,-45.41,167.72,1554221247,88,29.03,Te Anau,NZ,3.49
161,0,-45.87,170.5,1554221073,92,46.99,Dunedin,NZ,1.01
162,40,-42.48,-73.76,1554217200,67,59.0,Castro,CL,11.41
163,20,24.63,46.72,1554217200,25,73.4,Riyadh,SA,10.29
164,80,71.97,114.09,1554221326,83,24.98,Saskylakh,RU,6.17
165,80,-39.89,176.62,1554220936,84,48.0,Otane,NZ,5.06
166,75,66.15,-65.72,1554217200,50,8.6,Pangnirtung,CA,6.93
167,76,-26.98,-56.83,1554221207,75,80.6,San Patricio,PY,4.61
168,68,40.67,33.6,1554221327,33,48.83,Ayan,TR,2.82
169,32,45.05,136.61,1554221327,86,31.28,Terney,RU,7.63
170,40,-41.87,-73.83,1554217200,67,59.0,Ancud,CL,11.41
171,76,-1.2,-46.02,1554221231,98,80.69,Carutapera,BR,4.38
172,75,36.95,36.2,1554221092,76,63.0,Erzin,TR,4.05
173,0,64.25,-15.21,1554221328,100,34.07,Hofn,IS,23.4
174,75,69.22,-51.1,1554216600,63,26.6,Ilulissat,GL,2.24
175,40,-3.71,-38.6,1554220800,66,86.0,Vila Velha,BR,10.29
176,40,41.28,20.71,1554219000,33,60.8,Poum,MK,11.41
177,0,20.27,100.41,1554221238,83,81.0,Chiang Khong,LA,4.16
178,20,-8.65,115.22,1554219000,79,84.2,Denpasar,ID,6.93
179,0,28.27,79.16,1554221330,47,78.8,Aonla,IN,3.83
180,8,51.07,132.56,1554221330,61,13.28,Novyy Urgal,RU,2.71
181,90,68.22,-135.01,1554218160,71,5.0,Aklavik,CA,10.29
182,90,43.97,-111.68,1554221156,56,45.0,Saint Anthony,US,3.36
183,92,54.37,60.01,1554221330,91,34.25,Uyskoye,RU,6.96
184,36,4.92,6.26,1554221331,100,83.3,Yenagoa,NG,6.96
185,75,-20.34,57.76,1554221040,83,80.6,Bambous Virieux,MU,6.96
186,80,57.96,102.73,1554221331,56,32.18,Ust-Ilimsk,RU,7.4
